Año,Asistencia a la educación en personas de 5 a 6 años (porcentaje),Asistencia a la educación en personas de 7 a 12 años (porcentaje),Asistencia a la educación en personas de 13 a 17 años (porcentaje),Asistencia a la educación en personas de 18 a 22 años (porcentaje),Matrícula en transición (preescolar),Matrícula en el I ciclo,Matrícula en el II ciclo,Matrícula en el III ciclo,Matrícula en educación diversificada,Tasa neta de escolaridad en el ciclo de Interactivo II (preescolar) (porcentaje),Tasa neta de escolaridad en el ciclo de transición (preescolar) (porcentaje),Tasa neta de escolaridad en el I ciclo (porcentaje),Tasa neta de escolaridad en el II ciclo (porcentaje),Tasa neta de escolaridad en el III ciclo (porcentaje),Tasa neta de escolaridad en la educación diversificada (porcentaje),Porcentaje de repitencia en el I ciclo,Porcentaje de repitencia en el II ciclo,Porcentaje de repitencia en el III ciclo diurno,Porcentaje de repitencia en la educación diversificada diurna,Porcentaje de exclusión (deserción) educativa en el I ciclo,Porcentaje de exclusión (deserción) educativa en el II ciclo,Porcentaje de exclusión (deserción) educativa en el III ciclo diurno,Porcentaje de exclusión (deserción) educativa en el III ciclo nocturno,Porcentaje de exclusión (deserción) educativa en la educación diversificada diurna,Porcentaje de exclusión (deserción) educativa en la educación diversificada nocturna,Diplomas otorgados por las instituciones de educación superior,Diplomas otorgados por las instituciones de educación superior Estatales,Diplomas otorgados por las instituciones de educación superior Privadas,Personas jóvenes que no trabajan ni estudian (porcentaje),Personas jóvenes que solo trabajan (porcentaje),Personas jóvenes que solo estudian (porcentaje),Personas jóvenes que trabajan y estudian (porcentaje)
1990,24.98,95.00,57.38,23.94,46638.00,251879.00,183326.00,110562.00,43769.00,,,,,,,,,,,,,,,,,7254.00,5629.00,1625.00,23.32,47.09,21.68,7.90
1991,30.71,95.16,61.38,26.37,52040.00,260749.00,192548.00,116856.00,47039.00,,,,,,,,,,,,,,,,,7544.00,5773.00,1771.00,22.09,45.15,24.30,8.46
1992,30.79,95.53,63.23,28.83,52644.00,272621.00,198428.00,125753.00,51523.00,,,,,,,,,,,,,,,,,8915.00,6281.00,2634.00,21.15,44.21,26.80,7.85
1993,34.33,95.71,63.99,30.62,53774.00,280764.00,204194.00,133016.00,53027.00,,,,,,,,,,,,,,,,,9951.00,6911.00,3040.00,20.10,43.93,26.23,9.73
1994,40.45,96.91,65.42,30.90,55125.00,283149.00,212730.00,141344.00,55209.00,,,,,,,,,,,,,,,,,11840.00,7043.00,4797.00,19.86,42.37,27.05,10.72
1995,55.69,97.59,65.64,27.72,58371.00,283358.00,223679.00,147988.00,59243.00,,,,,,,12.60,5.30,12.30,6.80,5.70,4.20,14.30,41.70,8.30,29.50,12665.00,7119.00,5546.00,19.50,43.07,26.88,10.55
1996,59.09,96.83,64.92,29.85,60710.00,287451.00,231152.00,147590.00,60643.00,,,,,,,14.50,7.60,13.00,7.20,5.10,3.80,12.90,36.90,6.10,24.20,14753.00,8084.00,6669.00,20.17,40.52,29.93,9.38
1997,58.55,96.24,63.74,30.74,63585.00,289284.00,235989.00,155679.00,64472.00,,,,,,,12.80,6.90,13.00,6.40,5.10,3.80,13.00,41.00,5.00,28.20,17364.00,8930.00,8434.00,20.53,40.69,27.89,10.89
1998,63.48,97.08,61.85,29.39,67325.00,289632.00,240005.00,163595.00,63733.00,,,,,,,12.40,7.20,12.40,6.50,5.40,4.30,12.90,40.60,5.50,29.60,21179.00,9313.00,11866.00,18.49,41.40,27.30,12.81
1999,60.14,96.87,65.65,29.17,69679.00,288523.00,246534.00,170851.00,64574.00,5.59,81.69,97.31,77.44,50.62,25.24,11.80,6.70,12.40,5.50,5.00,3.60,10.80,34.90,4.90,23.00,23280.00,9767.00,13513.00,18.56,40.56,29.18,11.70
