Region de planificacion,Sexo,Edad,Total,Sin instruccion,Primaria incompleta,Primaria completa,Secundaria incompleta,Secundaria completa,Secundaria tec. incompleta,Secundaria tec. completa,Pregrado y grado,Posgrado,Ignorado
Central,Hombre,5 a 14,193636,45274,99066,25547,21950,-,1799,-,-,-,-
Central,Hombre,15 a 17 ,70950,184,0,4858,54100,3751,7914,143,0,0,0
Central,Hombre,18 a 24 ,162990,1081,1067,9743,26559,67625,2810,10919,43186,0,0
Central,Hombre,25 a 39 ,341125,2813,8770,51342,65962,92927,143,9216,100958,8994,0
Central,Hombre,40  y +,715619,16488,71692,217549,108552,106679,1009,11415,153426,28645,164
Central,Mujer,5 a 14,180587,41682,96578,20891,20224,-,1212,-,-,-,-
Central,Mujer,15 a 17 ,56152,176,0,3191,44778,1911,6096,0,0,0,0
Central,Mujer,18 a 24 ,166516,419,1061,4243,21574,73522,3704,12474,49519,0,0
Central,Mujer,25 a 39 ,348779,2481,9159,36811,59399,94228,1095,7987,127898,9432,289
Central,Mujer,40  y +,904096,23910,100676,276578,131221,138662,830,12725,183246,35877,371
Chorotega,Hombre,5 a 14,29229,6453,17111,2807,2700,-,158,-,-,-,-
Chorotega,Hombre,15 a 17 ,12330,153,237,286,9767,702,1185,0,0,0,0
Chorotega,Hombre,18 a 24 ,21439,351,522,591,4201,10930,776,1562,2506,0,0
Chorotega,Hombre,25 a 39 ,39009,578,1493,4907,8215,13881,305,739,8371,520,0
Chorotega,Hombre,40  y +,90578,4240,14533,31945,11908,12967,142,626,12297,1920,0
Chorotega,Mujer,5 a 14,29522,7267,14674,4077,3200,-,304,-,-,-,-
Chorotega,Mujer,15 a 17 ,9495,0,0,0,7371,583,1541,0,0,0,0
Chorotega,Mujer,18 a 24 ,16877,178,0,486,2059,7233,689,1047,5185,0,0
Chorotega,Mujer,25 a 39 ,44858,775,2339,5585,5815,16030,0,1581,12267,466,0
Chorotega,Mujer,40  y +,105817,4985,19902,32593,12050,15772,0,1329,16972,2214,0
Pacifico Central,Hombre,5 a 14,21244,4612,11694,2359,1390,-,1189,-,-,-,-
Pacifico Central,Hombre,15 a 17 ,9205,156,0,0,6850,526,1673,0,0,0,0
Pacifico Central,Hombre,18 a 24 ,14191,120,273,855,2844,4514,1373,1433,2779,0,0
Pacifico Central,Hombre,25 a 39 ,29768,663,2273,5384,7367,6637,213,811,6108,312,0
Pacifico Central,Hombre,40  y +,67177,3764,12405,25351,9378,7777,252,860,5725,1665,0
Pacifico Central,Mujer,5 a 14,22938,5932,10249,2263,3776,-,718,-,-,-,-
Pacifico Central,Mujer,15 a 17 ,9082,0,150,109,7014,0,1703,106,0,0,0
Pacifico Central,Mujer,18 a 24 ,15349,0,130,654,2972,5268,1196,742,4387,0,0
Pacifico Central,Mujer,25 a 39 ,33490,1140,2375,4837,6172,9364,253,962,7764,623,0
Pacifico Central,Mujer,40  y +,80559,3952,14632,24983,14083,11197,271,918,8641,1882,0
Brunca,Hombre,5 a 14,25306,6552,13923,2061,2624,-,146,-,-,-,-
